,Suburb,2025,2026,2027,growth_2025_%,growth_2026_%,growth_2027_%,average_growth_%
0,Melbourne CBD - East,753.3639930221252,852.4356909287744,951.5073888353945,19.356950553423115,13.150575130253086,11.622190267359192,14.709905317011797
1,Melbourne CBD - West,759.8476514690556,860.864446909778,961.8812423505005,18.797762486473175,13.29434857703661,11.734343984507637,14.60881834933914
2,Melbourne CBD - North,760.6505250953778,861.9081826239999,963.1658401525929,18.729541856459562,13.311981545786141,11.748079385941478,14.59653426272906
3,St Kilda - West,744.6062846268469,832.1131700148981,919.6200554029492,17.79635672031537,11.752101371519379,10.516224059581276,13.354894050472007
4,St Kilda - Central,745.2658480685786,832.9706024891348,920.67535690972,17.740989097733173,11.768250839328093,10.529153629011685,13.346131188690984
5,Docklands,748.0062943261582,835.6581826239999,923.3100709218415,15.851748565506496,11.718068278663736,10.488964282335061,12.686260375501766
6,Carlton,678.5495745459921,757.114446909778,835.679319273564,12.228475190113821,11.578354082139484,10.376881947564819,11.394570406606041
7,North Melbourne,664.1735923191591,738.3631700148981,812.5527477106662,11.69843283197282,11.170208896244139,10.047843758820088,10.972161829012348
8,West Melbourne - Residential,666.8661502461473,741.8634953199653,816.8608403938124,11.494917848225482,11.246236601773187,10.109318701751295,10.950157717249988
9,Caulfield - North,669.1735923191591,738.3631700148981,807.5527477106662,10.222216444873752,10.339555907451196,9.370670221047462,9.977480857790804
10,South Melbourne,695.845364054665,763.3489732710877,830.8525824874814,10.741863781879998,9.70094976606322,8.843086396923882,9.761966648289032
11,South Yarra - South,654.6539348879305,720.5501153543009,786.4462958207005,9.009043233917827,10.065803771217096,9.145259859405863,9.406702288180263
12,South Yarra - West,655.0133230565407,721.0173199735291,787.0213168904884,8.98410100484052,10.076741127797021,9.15428729498239,9.405043142539975
13,South Yarra - North,655.1428391759982,721.1856909288035,787.2285426815797,8.975121840288324,10.080679785170249,9.157537730361879,9.404446451940151
14,Richmond - North,693.7795292971132,754.28838808625,814.7972468753869,9.812010220484462,8.721626429427808,8.02197935761115,8.851872002507806
15,Malvern East,639.3178230883932,699.6131700149126,759.9085169414175,7.5182749605716594,9.431200687515148,8.618383631231476,8.52261975977276
16,Prahran - Windsor,610.0464007747651,661.2353210071888,712.4242412396125,8.936857281208047,8.390987991636907,7.741407424281739,8.356417565708897
17,Malvern - Glen Iris,669.0450331023312,727.1272930330306,785.20955296373,7.910489210053422,8.68136777899308,7.987908099065251,8.193255029370585
18,St Kilda East,598.8370538576128,657.1131700148981,715.3892861721833,5.593924726149055,9.731548136822838,8.86850527679487,8.064659379922254
19,Hawthorn East,620.4601468682813,679.4356909287599,738.411234989253,5.847030466610959,9.50513008098143,8.680077430120877,8.010745992571088
20,Shepparton - North,469.24086151688243,508.72561997194134,548.2103784270003,7.138580349964772,8.414603606220325,7.76150382542886,7.7715625938713195
21,Footscray,570.0176489932055,626.660443691173,683.3032383891405,2.7224582766080863,9.93702472160518,9.038833592930885,7.2327721970480505
22,Frankston,521.5493874924869,554.6142037402315,587.6790199879615,8.291944764528877,6.339728708476514,5.961768743884686,6.864480738963358
23,Carnegie,583.5641755622055,635.5709282308671,687.5776808995288,2.9538865799468286,8.911916606011388,8.182682743753585,6.682828643237268
24,Whittlesea,544.7368236145703,584.8453706989385,624.9539177833212,5.040818794892439,7.362921936914452,6.857974619248454,6.420571783685115
25,Doncaster,630.2389454149088,670.1356290393742,710.0323126638541,6.886170776634376,6.330405938052583,5.953523719022521,6.39003347790316
26,Elwood,597.383687561276,646.5362938296457,695.68890009803,2.946372146547844,8.22797931912527,7.602451206139923,6.258934223937679
27,Werribee - East,516.1887466914923,557.5953706989385,599.0019947063847,3.0120765177901276,8.021605328059097,7.425926789087859,6.153202878312361
28,Geelong,492.9123850562173,522.9361005730825,552.9598160899477,6.475253160431681,6.091085642622056,5.741373656162271,6.102570819738669
29,Albert Park,668.7582401223044,714.8857121589972,761.0131841956754,4.512138248235323,6.897480923488413,6.452426066450611,5.954015079391449
30,Geelong West - Hamlyn Heights,489.0585295069541,517.2135883590381,545.3686472111222,5.5225354894755165,5.756991679598892,5.443603858400454,5.574377009158288
31,Bendigo,470.7102762575887,501.94835913486895,533.1864420121492,3.464550823458735,6.63637155441784,6.223365871963506,5.44142941661336
32,Barwon Heads - Armstrong Creek,588.438746691485,611.0953706989312,633.7519947063774,8.2494035839361,3.8502943823522484,3.707543060182742,5.2690803421570305
33,Alfredton,489.0637466914777,522.345370698924,555.6269947063702,2.187312421608587,6.8051709480812725,6.371574416925293,5.121352595538384
34,Melton South - Weir Views,480.6022082299605,517.345370698953,554.088533167931,0.41931820779911344,7.645233800384767,7.102250169811432,5.0556007259984375
