,suburb,livability,affordability,total_score
0,Abbotsford,0.9993590332527361,0.21124249899558234,1.2106015322483183
1,Albert Park,0.9996045708519308,0.04612257186350144,1.0457271427154322
2,Alfredton,0.7890155471933692,1.0,1.7890155471933693
3,Barwon Heads - Armstrong Creek,0.8251907151864322,0.9208706131870976,1.7460613283735298
5,Bendigo,0.7448196035394955,0.6598069850561068,1.4046265885956024
6,Carlton,0.9998711217715208,0.18551315660855772,1.1853842783800785
7,Carnegie,0.9987104614214853,0.36581984661387423,1.3645303080353597
8,Caulfield - North,0.9994302620014668,0.2513171320428196,1.2507473940442864
9,Clayton - Central,0.9859157064518038,0.5715634793581356,1.5574791858099393
11,Dandenong - North,0.9694529081937341,0.7146395591602882,1.6840924673540223
12,Docklands,0.999755818576123,0.0,0.999755818576123
13,Doncaster,0.9923102069196644,0.5160109095151416,1.508321116434806
14,Elwood,0.9985906089282222,0.29122652324693954,1.2898171321751617
15,Footscray,0.9990160060669074,0.44220026320846717,1.4412162692753747
16,Frankston,0.941180031267679,0.6715011187966294,1.6126811500643083
18,Geelong,0.8698367919471168,0.5983349653889661,1.468171757336083
19,Geelong West - Hamlyn Heights,0.8671641002076969,0.7294095021458451,1.596573602353542
20,Hawthorn East,0.998596088105581,0.2874599163040681,1.286056004409649
22,Hoppers Crossing - South,0.9564351529220547,0.8498235699383819,1.8062587228604365
23,Kensington (Vic.),0.9984912201040032,0.22967864901051938,1.2281698691145224
24,Malvern - Glen Iris,0.999418608573439,0.2526502939443347,1.2520689025177738
25,Malvern East,0.9979300082408719,0.4087309249495952,1.4066609331904671
27,Melbourne CBD - East,0.9999756839289556,0.09743785943053762,1.0974135433594934
28,Melbourne CBD - North,0.9999177435999153,0.07898671028833304,1.0789044538882484
29,Melbourne CBD - West,0.9998908078321012,0.07128699060180721,1.0711777984339084
30,Melton South - Weir Views,0.8193350951222711,0.9834541211748672,1.8027892162971382
32,Mildura - North,0.0,0.8771506786652145,0.8771506786652145
33,North Melbourne,0.9998774195726537,0.2682128089290692,1.2680902285017228
37,Port Melbourne,0.9987988035765791,0.04459617941580851,1.0433949829923876
38,Prahran - Windsor,0.9994416248490091,0.2304204603281952,1.2298620851772042
39,Richmond (South) - Cremorne,0.9995424098044735,0.17717714890849234,1.176719558712966
40,Richmond - North,0.9996283526861148,0.13282182312438007,1.132450175810495
43,Sebastopol - Redan,0.7990153366963557,0.8681223931613535,1.6671377298577092
44,Shepparton - North,0.6832680503090247,0.7976098965768221,1.4808779468858468
45,South Melbourne,0.9996782164241385,0.0820909333380806,1.081769149762219
46,South Yarra - North,0.9994595639022883,0.13718149873171237,1.1366410626340007
47,South Yarra - South,0.9993948569081684,0.13144281627731336,1.1308376731854817
48,South Yarra - West,0.9994987442554674,0.10240319483178006,1.1019019390872473
51,St Kilda - Central,0.9994042629773647,0.22818812820725864,1.2275923911846234
52,St Kilda - West,0.9993422886740867,0.1593674722763716,1.1587097609504582
53,St Kilda East,0.9992389343377819,0.29951808644781597,1.2987570207855978
57,Toorak,0.9991083828773185,0.05701134200606761,1.056119724883386
61,Wendouree - Miners Rest,0.7946694842393988,0.9064489658933291,1.7011184501327279
62,Werribee - East,0.9502195183980314,0.9161716100563624,1.866391128454394
63,West Melbourne - Residential,0.9994624976851771,0.07863717962792394,1.078099677313101
64,Whittlesea,0.95990258906164,0.955461578403932,1.915364167465572
65,Yarraville,0.9949979172551984,0.4823606407150667,1.477358557970265
